481936705,699859
2877695,337684
517491339,303737
1748304036,4637
310275805,195845
131058159,472774
106685726,718326
1289012110,95032
454143774,359176
345037564,66259
7454319,119213
335772243,128073
607249381,70391
543296770,347516
481153145,470003
625979507,252399
236602327,637908
1858682,1545418
385925172,24850
602119635,26265
524053474,60736
283753310,881494
390741861,8214
14229967,652070
2316849,956
395591089,60166
435214140,60823
2082741655,10099
198403849,1583
496035658,159932
483522694,31911
591610354,155009
250111460,3124576
774729,244055
547173382,1055747
1312425578,78
521206626,57527
517608713,39003
508500385,276240
433967666,1565
483301783,656099
454755309,1463313
2075997933,53688
294086042,210363
3009298,50581
687151693,7553
373103803,170462
7920565,141686
475369185,5467
265059948,2513157
16671656,789516
552026468,220577
642892779,67256
364680842,74931
436215650,122423
491307403,46570
493805437,161076
397633962,42929
17996988,122704
514256503,3606
1448364925,28329
405279108,68001
85361061,27778
397088224,45751
86635269,41182
491254344,15232
20203471,399
62986950,325531
355646031,99618
5034200,309
543815523,28546
378885845,1669735
690810700,3382
39112946,254655
668383032,41200
5870268,2695685
504323253,305970
526626097,323018
192090,381151
12598849,77252
15967711,1783008
286290081,4706
20165629,7873905
18337466,192151
18690024,595512
517327498,12969894
650966649,174468
390371228,1396488
651039864,1182726
494436551,21358
401881681,44208
269290007,1550
494915055,28388
23823165,1978
452215100,111370
702959201,5297
490176501,219419
27880221,375720
1507944372,46825
605685871,56213
38448327,64251
513395871,1263
31271589,62195
4134324,295966
66605322,349239
517937049,17008
426732823,58593
41976200,203757
414336759,1460049
1674866915,14704
627744686,77335
404194769,180092
303740257,588174
329519036,653870
667021215,29327
302108580,2622
14065484,1845
501879357,34104
52165725,1406312
503984205,33799
675972806,21612
43645887,1113172
189866857,531443
108876708,16795
146979897,257634
11799651,338850
384123438,24574
213845897,874311
95313268,10891
2073852843,12437
97735670,275
443285454,135250
303292147,69462
235630215,1299702
14804670,2750082
526044134,70532
7788379,4156389
103388721,710078
654391,140901
15021038,56668
291042076,357239
102512379,42008
448175398,10531
254463269,4129737
484242006,2036
419163775,54320
410558000,535165
1365965192,130818
54768146,10654
1109061483,8115
487511093,1205966
441631812,195675
630874464,162753
326081112,1295185
26630260,3397
661849085,246125
437758034,2065
1103272707,73491
1222214921,2372
374377163,368177
910705,189896
602082725,9789
388094867,117808
472919330,3711
1952851792,29615
105588685,379485
30520341,64063
1634298255,1413
384894981,111543
470549042,146773
258150656,3031071
395188578,114886
402576555,940809
478269351,462513
396607455,13055
527350821,8697
277301527,45799
39413292,54579
50092850,328576
687318487,148685
2066911559,15331
25126508,161550
4390920,86684
29480328,2190
245945,4423
5500182,45804
472110205,180661
73884967,9873
700643010,10689
515019371,250389
415762753,10438
672416566,27699
1928240084,189
838792,93638
518656772,58183
335567719,358970
492841900,2237
602056099,624
471151393,52799
397490386,555802
1426178487,8941
471099088,2690
3417539,4955
431268590,198
515269622,102904
430443132,13070
1820482312,90
699213714,2927
690661734,40500
11130880,71398
670562659,162010
66878451,31859
481425807,105709
384068749,447179
501459589,127940
698344118,382
472761116,11234
700800216,60659
527190367,3511
27744027,183287
160187496,4573
438838611,41987
494096334,33814
474496561,7949
1895447416,2275
544288159,883
351190028,14193
519942364,3150
686700728,1943
1996722487,212
543572851,3118
10457071,12894
637327408,128283
1215892713,18156
476747885,3452
609052399,127767
12177425,590537
1456529052,67620
486588320,96244
691007239,17427
88225156,19154
544434859,27343
496147436,1581
363852103,369810
471285754,34572
7223194,450147
57797019,45447
1993043920,8740
423539225,13085
672604526,2391
471664269,5056
396599607,37070
432597324,49158
170560057,274660
274310388,41833
125526,1858062
434185303,172728
1586989078,993
353017413,106574
662660667,50580
333858062,5448
447297362,66442
23326926,576710
67299944,11219
588598062,1950
386251043,60829
1508988764,262
477328270,566168
106601491,942
1187565153,1042
93775305,8988
72844725,353768
1779855341,13846
34215955,59989
702104885,125211
1121471623,1206
669110163,2651
2016841403,126452
522557713,29849
637623364,38
1056045775,56003
595658483,169461
32930226,101532
691876929,44902
524210123,27037
90183256,613867
673420980,62102
486257145,473660
151482404,161483
618407096,26407
519978853,21448
435419181,22367
1751480368,7477
565871909,1186
473749310,25644
300223719,55532
7031818,125
267778743,13276
689962773,4534
568234520,696
1454271217,28326
40427625,898394
38053181,925096
95256449,360445
696648800,794642
1357115005,171189
429392011,756623
2699952,10181
33937791,15611
338076817,18370
2046539153,6913
609159646,26785
1062844106,600
357598071,41251
634950455,20228
74529609,176033
22359114,1299
586883695,7138
346352847,42276
306310955,40933
2200736,2318479
129259501,1353460
385959977,337169
8377712,50877
39665558,169214
22179720,263879
388987410,6508
37515731,6523
28309402,1638
630292924,2374
517760331,19581
389484088,4928
595015973,15008
480423911,170721
427494870,751342
395619513,538347
1246752779,10464
2398145,292
95252741,27096
231777846,665
1894771543,8745
436492907,39104
583498327,239
2069259666,230
